Designator,Mid X,Mid Y,Rotation,Layer
D1,323.85,-65.24625,0.0,top
D10,509.5875,-65.24625,0.0,top
D100,381.0,-81.28,180.0,bottom
D101,400.05,-81.28,180.0,bottom
D102,419.1,-81.28,180.0,bottom
D103,438.15,-81.28,180.0,bottom
D104,457.2,-81.28,180.0,bottom
D105,476.25,-81.28,180.0,bottom
D106,495.3,-81.28,180.0,bottom
D107,514.35,-81.28,180.0,bottom
D108,533.4,-81.28,180.0,bottom
D109,552.45,-81.28,180.0,bottom
D11,528.6375,-65.24625,0.0,top
D110,581.025,-81.28,180.0,bottom
D111,614.3625,-81.28,180.0,bottom
D112,328.6125,-100.33,0.0,bottom
D113,352.425,-100.33,0.0,bottom
D114,371.475,-100.33,0.0,bottom
D115,390.525,-100.33,0.0,bottom
D116,409.575,-100.33,0.0,bottom
D117,428.625,-100.33,0.0,bottom
D118,447.675,-100.33,0.0,bottom
D119,466.725,-100.33,0.0,bottom
D12,547.6875,-65.24625,0.0,top
D120,485.775,-100.33,0.0,bottom
D121,504.825,-100.33,0.0,bottom
D122,523.875,-100.33,0.0,bottom
D123,542.925,-100.33,0.0,bottom
D124,561.975,-100.33,0.0,bottom
D125,585.7875,-100.33,0.0,bottom
D126,614.3625,-100.33,0.0,bottom
D127,330.99375,-119.38,180.0,bottom
D128,357.1875,-119.38,180.0,bottom
D129,376.2375,-119.38,180.0,bottom
D13,566.7375,-65.24625,0.0,top
D130,395.2875,-119.38,180.0,bottom
D131,414.3375,-119.38,180.0,bottom
D132,433.3875,-119.38,180.0,bottom
D133,452.4375,-119.38,180.0,bottom
D134,471.4875,-119.38,180.0,bottom
D135,490.5375,-119.38,180.0,bottom
D136,509.5875,-119.38,180.0,bottom
D137,528.6375,-119.38,180.0,bottom
D138,547.6875,-119.38,180.0,bottom
D139,578.64375,-119.38,180.0,bottom
D14,590.55,-65.24625,0.0,top
D140,614.3625,-119.38,180.0,bottom
D141,335.75625,-138.43,0.0,bottom
D142,366.7125,-138.43,0.0,bottom
D143,385.7625,-138.43,0.0,bottom
D144,404.8125,-138.43,0.0,bottom
D145,423.8625,-138.43,0.0,bottom
D146,442.9125,-138.43,0.0,bottom
D147,461.9625,-138.43,0.0,bottom
D148,481.0125,-138.43,0.0,bottom
D149,500.0625,-138.43,0.0,bottom
D15,323.85,-84.29625,0.0,top
D150,519.1125,-138.43,0.0,bottom
D151,538.1625,-138.43,0.0,bottom
D152,564.35625,-138.43,0.0,bottom
D153,592.93125,-140.81125,0.0,bottom
D154,614.3625,-138.43,0.0,bottom
D155,326.23125,-157.48,180.0,bottom
D156,350.04375,-157.48,180.0,bottom
D157,373.85625,-157.48,180.0,bottom
D159,514.35,-157.48,180.0,bottom
D16,342.9,-84.29625,0.0,top
D160,533.4,-157.48,180.0,bottom
D161,552.45,-157.48,180.0,bottom
D162,573.88125,-159.86125,180.0,bottom
D163,592.93125,-159.86125,180.0,bottom
D164,611.98125,-159.86125,180.0,bottom
D165,484.98125,-157.48,180.0,bottom
D166,465.1375,-157.48,180.0,bottom
D167,445.29375,-157.48,180.0,bottom
D168,425.45,-157.48,180.0,bottom
D169,405.60625,-157.48,180.0,bottom
D17,361.95,-84.29625,0.0,top
D18,381.0,-84.29625,0.0,top
D19,400.05,-84.29625,0.0,top
D2,347.6625,-65.24625,0.0,top
D20,419.1,-84.29625,0.0,top
D21,438.15,-84.29625,0.0,top
D22,457.2,-84.29625,0.0,top
D23,476.25,-84.29625,0.0,top
D24,495.3,-84.29625,0.0,top
D25,514.35,-84.29625,0.0,top
D26,533.4,-84.29625,0.0,top
D27,552.45,-84.29625,0.0,top
D28,581.025,-84.29625,0.0,top
D29,614.3625,-84.29625,0.0,top
D3,366.7125,-65.24625,0.0,top
D30,328.6125,-103.34625,0.0,top
D31,352.425,-103.34625,0.0,top
D32,371.475,-103.34625,0.0,top
D33,390.525,-103.34625,0.0,top
D34,409.575,-103.34625,0.0,top
D35,428.625,-103.34625,0.0,top
D36,447.675,-103.34625,0.0,top
D37,466.725,-103.34625,0.0,top
D38,485.775,-103.34625,0.0,top
D39,504.825,-103.34625,0.0,top
D4,385.7625,-65.24625,0.0,top
D40,523.875,-103.34625,0.0,top
D41,542.925,-103.34625,0.0,top
D42,561.975,-103.34625,0.0,top
D43,585.7875,-103.34625,0.0,top
D44,614.3625,-103.34625,0.0,top
D45,330.99375,-122.39625,0.0,top
D46,357.1875,-122.39625,0.0,top
D47,376.2375,-122.39625,0.0,top
D48,395.2875,-122.39625,0.0,top
D49,414.3375,-122.39625,0.0,top
D5,404.8125,-65.24625,0.0,top
D50,433.3875,-122.39625,0.0,top
D51,452.4375,-122.39625,0.0,top
D52,471.4875,-122.39625,0.0,top
D53,490.5375,-122.39625,0.0,top
D54,509.5875,-122.39625,0.0,top
D55,528.6375,-122.39625,0.0,top
D56,547.6875,-122.39625,0.0,top
D57,578.64375,-122.39625,0.0,top
D58,614.3625,-122.39625,0.0,top
D59,335.75625,-141.44625,0.0,top
D6,428.625,-65.24625,0.0,top
D60,366.7125,-141.44625,0.0,top
D61,385.7625,-141.44625,0.0,top
D62,404.8125,-141.44625,0.0,top
D63,423.8625,-141.44625,0.0,top
D64,442.9125,-141.44625,0.0,top
D65,461.9625,-141.44625,0.0,top
D66,481.0125,-141.44625,0.0,top
D67,500.0625,-141.44625,0.0,top
D68,519.1125,-141.44625,0.0,top
D69,538.1625,-141.44625,0.0,top
D7,447.675,-65.24625,0.0,top
D70,564.35625,-141.44625,0.0,top
D71,592.93125,-143.8275,0.0,top
D72,614.3625,-141.44625,0.0,top
D73,326.23125,-160.49625,0.0,top
D74,350.04375,-160.49625,0.0,top
D75,373.85625,-160.49625,0.0,top
D76,445.29375,-160.49625,0.0,top
D77,514.35,-160.49625,0.0,top
D78,533.4,-160.49625,0.0,top
D79,552.45,-160.49625,0.0,top
D8,466.725,-65.24625,0.0,top
D80,573.88125,-162.8775,0.0,top
D81,592.93125,-162.8775,0.0,top
D82,611.98125,-162.8775,0.0,top
D83,323.85,-62.23,0.0,bottom
D84,347.6625,-62.23,0.0,bottom
D85,366.7125,-62.23,0.0,bottom
D86,385.7625,-62.23,0.0,bottom
D87,404.8125,-62.23,0.0,bottom
D88,428.625,-62.23,0.0,bottom
D89,447.675,-62.23,0.0,bottom
D9,485.775,-65.24625,0.0,top
D90,466.725,-62.23,0.0,bottom
D91,485.775,-62.23,0.0,bottom
D92,509.5875,-62.23,0.0,bottom
D93,528.6375,-62.23,0.0,bottom
D94,547.6875,-62.23,0.0,bottom
D95,566.7375,-62.23,0.0,bottom
D96,590.55,-62.23,0.0,bottom
D97,323.85,-81.28,180.0,bottom
D98,342.9,-81.28,180.0,bottom
D99,361.95,-81.28,180.0,bottom
SW1,323.85,-55.06,0.0,top
SW10,509.5875,-55.06,0.0,top
SW11,528.6375,-55.06,0.0,top
SW12,547.6875,-55.06,0.0,top
SW13,566.7375,-55.06,0.0,top
SW14,590.55,-55.06,0.0,top
SW15,323.85,-74.11,0.0,top
SW16,342.9,-74.11,0.0,top
SW17,361.95,-74.11,0.0,top
SW18,381.0,-74.11,0.0,top
SW19,400.05,-74.11,0.0,top
SW2,347.6625,-55.06,0.0,top
SW20,419.1,-74.11,0.0,top
SW21,438.15,-74.11,0.0,top
SW22,457.2,-74.11,0.0,top
SW23,476.25,-74.11,0.0,top
SW24,495.3,-74.11,0.0,top
SW25,514.35,-74.11,0.0,top
SW26,533.4,-74.11,0.0,top
SW27,552.45,-74.11,0.0,top
SW28,581.025,-77.0575,0.0,top
SW29,614.3625,-74.11,0.0,top
SW3,366.7125,-55.06,0.0,top
SW30,328.6125,-93.16,0.0,top
SW31,352.425,-93.16,0.0,top
SW32,371.475,-93.16,0.0,top
SW33,390.525,-93.16,0.0,top
SW34,409.575,-93.16,0.0,top
SW35,428.625,-93.16,0.0,top
SW36,447.675,-93.16,0.0,top
SW37,466.725,-93.16,0.0,top
SW38,485.775,-93.16,0.0,top
SW39,504.825,-93.16,0.0,top
SW4,385.7625,-55.06,0.0,top
SW40,523.875,-93.16,0.0,top
SW41,542.925,-93.16,0.0,top
SW42,561.975,-93.16,0.0,top
SW43,585.7875,-93.16,0.0,top
SW44,614.3625,-93.16,0.0,top
SW45,330.99375,-112.21,0.0,top
SW46,357.1875,-112.21,0.0,top
SW47,376.2375,-112.21,0.0,top
SW48,395.2875,-112.21,0.0,top
SW49,414.3375,-112.21,0.0,top
SW5,404.8125,-55.06,0.0,top
SW50,433.3875,-112.21,0.0,top
SW51,452.4375,-112.21,0.0,top
SW52,471.4875,-112.21,0.0,top
SW53,490.5375,-112.21,0.0,top
SW54,509.5875,-112.21,0.0,top
SW55,528.6375,-112.21,0.0,top
SW56,547.6875,-112.21,0.0,top
SW57,578.64375,-115.1575,0.0,top
SW58,614.3625,-112.21,0.0,top
SW59,335.75625,-134.2075,0.0,top
SW6,428.625,-55.06,0.0,top
SW60,366.7125,-131.26,0.0,top
SW61,385.7625,-131.26,0.0,top
SW62,404.8125,-131.26,0.0,top
SW63,423.8625,-131.26,0.0,top
SW64,442.9125,-131.26,0.0,top
SW65,461.9625,-131.26,0.0,top
SW66,481.0125,-131.26,0.0,top
SW67,500.0625,-131.26,0.0,top
SW68,519.1125,-131.26,0.0,top
SW69,538.1625,-131.26,0.0,top
SW7,447.675,-55.06,0.0,top
SW70,564.35625,-131.26,0.0,top
SW71,592.93125,-133.64125,0.0,top
SW72,614.3625,-131.26,0.0,top
SW73,326.23125,-150.31,0.0,top
SW74,350.04375,-150.31,0.0,top
SW75,373.85625,-150.31,0.0,top
SW76,445.29375,-153.2575,0.0,top
SW77,514.35,-150.31,0.0,top
SW78,533.4,-150.31,0.0,top
SW79,552.45,-150.31,0.0,top
SW8,466.725,-55.06,0.0,top
SW80,573.88125,-152.69125,0.0,top
SW81,592.93125,-152.69125,0.0,top
SW82,611.98125,-152.69125,0.0,top
SW84,614.3625,-57.15,0.0,top
SW9,485.775,-55.06,0.0,top
U1,347.6625,-58.15,0.0,bottom
U2,560.7,-112.55,90.0,bottom
U4,416.8,-60.4,270.0,bottom
